network,node1,node2,shortest_path,distance,path_in_N_networks,edge_weight,edge_betweenness
hetero,122,211,"[122, 114, 111, 211]",3,1,,
hetero,122,213,"[122, 310, 213]",2,1,,
hetero,122,311,"[122, 214, 311]",2,1,,
hetero,122,312,"[122, 214, 311, 312]",3,1,,
hetero,122,313,"[122, 319, 112, 318, 313]",4,1,,
hetero,122,314,"[122, 319, 112, 111, 314]",4,1,,
hetero,122,318,"[122, 319, 112, 318]",3,1,,
hetero,122,415,"[122, 214, 213, 415]",3,1,,
hetero,122,418,"[122, 214, 110, 418]",3,1,,
hetero,122,419,"[122, 214, 318, 116, 419]",4,1,,
hetero,122,510,"[122, 319, 112, 111, 314, 510]",5,1,,
hetero,122,511,"[122, 214, 110, 511]",3,1,,
hetero,122,514,"[122, 319, 112, 318, 514]",4,1,,
hetero,122,316,"[122, 319, 112, 111, 316]",4,1,,
hetero,121,122,"[121, 116, 318, 214, 122]",4,1,,
hetero,121,124,"[121, 116, 124]",2,1,,
hetero,121,125,"[121, 116, 318, 110, 211, 125]",5,1,,
hetero,121,211,"[121, 116, 318, 110, 211]",4,1,,
hetero,121,213,"[121, 116, 318, 213]",3,1,,
hetero,121,214,"[121, 116, 318, 214]",3,1,,
hetero,121,310,"[121, 116, 318, 213, 310]",4,1,,
hetero,121,311,"[121, 116, 318, 214, 311]",4,1,,
hetero,121,312,"[121, 116, 318, 214, 311, 312]",5,1,,
hetero,121,313,"[121, 116, 318, 313]",3,1,,
hetero,121,314,"[121, 116, 510, 314]",3,1,,
hetero,121,318,"[121, 116, 318]",2,1,,
hetero,121,319,"[121, 116, 318, 112, 319]",4,1,,
hetero,121,415,"[121, 116, 318, 213, 415]",4,1,,
hetero,121,418,"[121, 116, 318, 110, 418]",4,1,,
hetero,121,510,"[121, 116, 510]",2,1,,
hetero,121,511,"[121, 116, 318, 110, 511]",4,1,,
hetero,121,514,"[121, 116, 318, 514]",3,1,,
hetero,119,125,"[119, 111, 211, 125]",3,1,,
hetero,119,211,"[119, 111, 211]",2,1,,
hetero,119,214,"[119, 111, 112, 319, 214]",4,1,,
hetero,119,316,"[119, 111, 316]",2,1,,
hetero,119,514,"[119, 318, 514]",2,1,,
hetero,119,122,"[119, 111, 112, 319, 122]",4,1,,
hetero,119,213,"[119, 111, 112, 319, 310, 213]",5,1,,
hetero,119,310,"[119, 111, 112, 319, 310]",4,1,,
hetero,119,313,"[119, 318, 313]",2,1,,
hetero,119,319,"[119, 111, 112, 319]",3,1,,
hetero,119,510,"[119, 314, 510]",2,1,,
hetero,118,119,"[118, 111, 119]",2,1,,
hetero,118,125,"[118, 111, 211, 125]",3,1,,
hetero,118,211,"[118, 111, 211]",2,1,,
hetero,118,214,"[118, 111, 112, 319, 214]",4,1,,
hetero,118,314,"[118, 111, 314]",2,1,,
hetero,118,514,"[118, 318, 514]",2,1,,
hetero,118,122,"[118, 111, 112, 319, 122]",4,1,,
hetero,118,213,"[118, 111, 112, 319, 310, 213]",5,1,,
hetero,118,310,"[118, 111, 112, 319, 310]",4,1,,
hetero,118,313,"[118, 318, 313]",2,1,,
hetero,118,319,"[118, 111, 112, 319]",3,1,,
hetero,118,510,"[118, 111, 314, 510]",3,1,,
hetero,117,121,"[117, 318, 116, 121]",3,1,,
hetero,117,122,"[117, 214, 122]",2,1,,
hetero,117,124,"[117, 318, 116, 124]",3,1,,
hetero,117,125,"[117, 214, 110, 211, 125]",4,1,,
hetero,117,211,"[117, 318, 110, 211]",3,1,,
hetero,117,213,"[117, 318, 213]",2,1,,
hetero,117,310,"[117, 214, 310]",2,1,,
hetero,117,311,"[117, 214, 311]",2,1,,
hetero,117,312,"[117, 214, 311, 312]",3,1,,
hetero,117,313,"[117, 318, 313]",2,1,,
hetero,117,314,"[117, 214, 510, 314]",3,1,,
hetero,117,319,"[117, 214, 319]",2,1,,
hetero,117,415,"[117, 214, 213, 415]",3,1,,
hetero,117,418,"[117, 318, 110, 418]",3,1,,
hetero,117,419,"[117, 318, 116, 419]",3,1,,
hetero,117,510,"[117, 318, 510]",2,1,,
hetero,117,511,"[117, 318, 110, 511]",3,1,,
hetero,117,514,"[117, 318, 514]",2,1,,
hetero,116,117,"[116, 318, 117]",2,1,,
hetero,116,122,"[116, 510, 114, 122]",3,1,,
hetero,116,125,"[116, 318, 110, 211, 125]",4,1,,
hetero,116,211,"[116, 318, 110, 211]",3,1,,
hetero,116,213,"[116, 318, 213]",2,1,,
hetero,116,214,"[116, 318, 214]",2,1,,
hetero,116,310,"[116, 318, 213, 310]",3,1,,
hetero,116,311,"[116, 318, 214, 311]",3,1,,
hetero,116,312,"[116, 318, 214, 311, 312]",4,1,,
hetero,116,313,"[116, 318, 313]",2,1,,
hetero,116,314,"[116, 510, 314]",2,1,,
hetero,116,319,"[116, 318, 112, 319]",3,1,,
hetero,116,415,"[116, 318, 213, 415]",3,1,,
hetero,116,418,"[116, 318, 110, 418]",3,1,,
hetero,116,511,"[116, 318, 110, 511]",3,1,,
hetero,116,514,"[116, 318, 514]",2,1,,
hetero,115,116,"[115, 110, 318, 116]",3,1,,
